Animal,Category,Scales,Fur,Feathers,Legs,Habitat,Diet,Lays Eggs,Flies,Speed (mph),Changes Color,Has A Pouch,Domesticated,Poisonous or Venomous,Nocturnal,Hibernates,Breathes Under Water,Lives in Groups,Metamorphosis,Average Lifespan,Teeth,Temperature,Common Pet,Wings,Weight (lbs),Height (inches),Colors,Endangered,Has Tail,Has Dorsal Fin,Pattern,Preferred Environment Temperature,Human Interaction,Territory Size (sq miles),Intelligence Level,Tree Climbing,Fishing Ability,Speech Capability,Eggs per Clutch,Clutches per Year,Cheek Pouches,Social Bonding Level,Hoarding Behavior,Human Usage Products,Group Size,Nest Location,Diet Preferences,Migration,Hunting Technique,Burrowing Behavior
African Dwarf Frog,Amphibian,No,No,No,4,Freshwater,Carnivore,Yes,No,2,No,No,Yes,No,Yes,No,Yes,Yes,Yes,5,No,Warm,Yes,No,0.01,1.5,Olive;Brown,No,No,No,Mottled,75,Dependent,0,Learning,Poor,Poor,Basic,50,4,No,Social,No,Pets,4,Freshwater Plants,Small Invertebrates;Insects,No,Ambush;Suction Feeding,Non-Burrowing
African Grey Parrot,Bird,No,No,Yes,2,Rainforest,Omnivore,Yes,Yes,15,No,No,Yes,No,No,No,No,No,Yes,45,No,Warm,Yes,No,1,12,Gray;Red;White,Yes,Yes,No,Solid,75,Dependent,0,Tool User,Professional,Poor,Advanced Speech,4,1,No,Pairs,No,Pets;Entertainment,2,Tree Cavity,Seeds;Fruits;Nuts,No,Foraging;Crushing,Non-Burrowing
African Lion,Mammal,No,Fur,No,4,Savanna,Carnivore,No,No,50,No,No,No,No,No,No,No,Yes,No,15,Yes,Warm,No,No,400,48,Tan;Brown,Yes,Yes,No,Solid,85,Fearful,100,Complex Learner,Poor,Poor,Basic,0,2,No,Colonial,No,Tourism;Trophy,15,Ground Level,Large Mammals;Medium Mammals,No,Pack Hunting;Stalking;Ambush,Burrow User
Alligator,Reptile,Yes,No,No,4,Wetlands;Rivers,Carnivore,Yes,No,20,No,No,No,No,Yes,No,No,Yes,No,40,Yes,Cold,No,No,500,48,Green;Gray;Black,No,Yes,No,Scaly,75,Fearful,2,Problem Solver,Poor,Excellent,Basic,40,1,No,Solitary,No,Meat;Leather,1,Water's Edge,Fish;Medium Mammals,No,Ambush;Diving,Non-Burrowing
Alpaca,Mammal,No,Fur,No,4,Mountain,Herbivore,No,No,25,No,No,Yes,No,No,No,No,Yes,No,20,Yes,Cold,No,No,150,36,Multiple,No,Yes,No,Solid,65,Dependent,0,Learning,Poor,Poor,Basic,0,0,No,Colonial,No,Wool/Meat,20,Ground Level,Grass;Hay,No,Grazing,Non-Burrowing
American Bison,Mammal,No,Fur,No,4,Grassland,Herbivore,No,No,35,No,No,No,No,No,No,No,Yes,No,20,Yes,Cold,No,No,1500,66,Brown;Black,Yes,Yes,No,Solid,65,Cautious,10,Learning,Poor,Poor,Basic,0,1,No,Colonial,No,Meat;Hide;Tourism,50,Ground Level,Grass;Plants,Seasonal,Grazing,Non-Burrowing
Angelfish,Fish,Yes,No,No,0,Tropical;Freshwater,Omnivore,Yes,No,3,No,No,Yes,No,No,No,Yes,Yes,No,10,Yes,Warm,Yes,No,0.3,6,Silver;Black;Yellow;Orange,No,Yes,Yes,Striped,78,Dependent,0,Learning,Poor,Poor,None,300,4,No,Pairs,No,Pets,2,Plants,Small Fish;Plants,No,Ambush,Non-Burrowing
Angora Rabbit,Mammal,No,Fur,No,4,Domestic,Herbivore,No,No,25,No,No,Yes,No,No,No,No,Yes,No,10,Yes,Warm,Yes,No,7.5,10,White;Multiple,No,Yes,No,Solid,72,Dependent,0,Learning,Poor,Poor,Basic,0,1.2,No,Colonial,No,Wool;Pets,1,Ground Burrow,Hay;Vegetables,No,Grazing;Browsing,Non-Burrowing
Ant,Insect,No,No,No,6,Various,Omnivore,Yes,Yes,0.1,No,No,No,Venomous,No,Yes,No,Yes,Yes,2,No,Cold,No,Yes,0.00001,0.25,Black;Red;Brown,No,No,No,Solid,70,Neutral,0.01,Learning,Poor,Poor,None,1,3,No,Colonial,Complex,Pest Control,50000,Underground,Insects;Seeds;Plants,No,Foraging,Tunneling
Armadillo,Mammal,Yes,No,No,4,Various,Omnivore,No,No,3,No,No,No,No,Yes,No,No,No,No,12,Yes,Warm,No,No,12,16,Gray;Pink,No,Yes,No,Plated,75,Cautious,0.1,Learning,Poor,Poor,Basic,4,1,No,Solitary,No,Meat;Research,1,Burrow,Insects;Worms,No,Digging;Foraging,Tunneling
Axolotl,Amphibian,No,No,No,4,Freshwater,Carnivore,Yes,No,2,No,No,Yes,No,No,No,Yes,Yes,No,12,Yes,Cold,Yes,No,0.5,12,Pink;White;Black;Olive,Yes,Yes,Yes,Solid,68,Dependent,0,Learning,Poor,Poor,Basic,100,2,No,Solitary,No,Pets;Research,1,Water's Edge,Insects;Worms;Small Fish,No,Ambush;Foraging,Non-Burrowing
Bald Eagle,Bird,No,No,Yes,2,Forest;Coastal,Carnivore,Yes,Yes,100,No,No,No,No,No,No,No,Yes,No,30,No,Warm,No,Yes,12,36,Brown;White,Yes,Yes,No,Two-toned,65,Fearful,100,Complex Learner,Professional,Excellent,Basic,2,1,No,Pairs,No,Tourism;Education;Conservation,2,Tree Top;Cliff,Fish;Birds;Medium Mammals,Seasonal,Diving;Swooping,Non-Burrowing
Bearded Dragon,Reptile,Yes,No,No,4,Desert,Omnivore,Yes,No,9,Yes,No,Yes,No,No,Yes,No,No,No,12,Yes,Warm,Yes,No,1,4,Multiple,No,Yes,No,Solid,85,Dependent,0,Learning,Good,Poor,Basic,20,3,No,Solitary,No,Pets,1,Ground Level,Insects;Vegetables,No,Stalking;Ambush,Non-Burrowing
Beaver,Mammal,No,Fur,No,4,Wetland,Herbivore,No,No,6,No,No,No,No,No,No,No,Yes,No,10,Yes,Cold,No,No,40,15,Brown,No,Yes,No,Solid,50,Cautious,0.5,Problem Solver,Poor,Good,Basic,0,0,Yes,Family,Complex,Fur;Meat,6,Water's Edge,Bark;Leaves;Aquatic Plants,No,Grazing,Tunneling
Betta Fish,Fish,Yes,No,No,0,Freshwater,Carnivore,Yes,No,3,Yes,No,Yes,No,No,No,Yes,No,No,3,Yes,Warm,Yes,No,0.003,3,Multiple,No,Yes,Yes,Various,78,Dependent,0,Learning,Poor,Poor,None,100,4,No,Solitary,No,Pets;Ornamental,1,Bubble Nest,Insects;Fish Food,No,Ambush;Striking,Non-Burrowing
Binturong,Mammal,No,Fur,No,4,Forest,Omnivore,No,No,20,No,No,No,No,Yes,No,No,No,No,18,Yes,Warm,No,No,50,30,Black,Yes,Yes,No,Solid,75,Cautious,1,Complex Learner,Professional,Poor,Basic,0,1,No,Solitary,No,Tourism,1,Tree Hollow,Fruits;Small Animals,No,Stalking;Climbing,Non-Burrowing
Black Bear,Mammal,No,Fur,No,4,Forest,Omnivore,No,No,30,No,No,No,No,No,Yes,No,Yes,No,25,Yes,Warm,No,No,400,40,Black;Brown,No,Yes,No,Solid,55,Cautious,15,Problem Solver,Good,Excellent,Basic,0,1,No,Solitary,No,Fur;Meat,1,Cave;Ground Den,Fish;Berries;Small Mammals,No,Opportunistic;Fishing;Foraging,Burrow User
Black-capped Chickadee,Bird,No,No,Yes,2,Forest,Omnivore,Yes,Yes,25,No,No,No,No,No,No,No,Yes,No,2.5,No,Cold,No,Yes,0.025,5.3,Black;White,No,Yes,No,Two-toned,60,Tolerant,0.1,Learning,Poor,Poor,Basic,6,1,No,Small Groups,Simple,Tourism;Education,12,Tree Cavity,Insects;Seeds,Some,Gleaning;Picking,Non-Burrowing
Blue Jay,Bird,No,No,Yes,2,Woodland,Omnivore,Yes,Yes,25,No,No,No,No,No,No,No,Yes,No,7,No,Warm,No,Yes,0.3,12,Blue;White,No,Yes,No,Patterned,70,Tolerant,0.2,Complex Learner,Poor,Poor,Basic,5,1,No,Family,Simple,Tourism;Education,6,Tree Branch,Seeds;Nuts;Insects,Some,Foraging;Caching,Non-Burrowing
Blue Whale,Mammal,No,No,No,0,Ocean;Coastal,Carnivore,No,No,23,No,No,No,No,No,No,Yes,Yes,No,90,Yes,Warm,No,No,290000,384,Blue;Gray,Yes,Yes,Yes,Solid,40,Fearful,3000,Complex Learner,Poor,Professional,Complex,0,1,No,Small Groups,No,Tourism,3,Open Ocean,Plankton,Long Distance,Filter Feeding;Lunge Feeding,Non-Burrowing
Blue-Tongued Skink,Reptile,Yes,No,No,4,Various,Omnivore,Yes,No,2,No,No,Yes,No,No,No,No,No,No,20,Yes,Warm,Yes,No,1.1,20,Brown;Gray,No,Yes,No,Banded,80,Dependent,0,Learning,Poor,Poor,Basic,10,2,No,Solitary,No,Pets;Education,1,Ground Shelter,Insects;Fruits,No,Foraging;Crushing,Non-Burrowing
Box Turtle,Reptile,Yes,No,No,4,Woodland,Omnivore,Yes,No,0.2,No,No,Yes,No,No,Yes,No,No,No,40,No,Warm,Yes,No,1,6,Brown;Yellow,No,Yes,No,Shell Pattern,72,Dependent,0.1,Learning,Poor,Poor,Basic,6,2,No,Solitary,No,Pets;Education,1,Soil Burrow,Plants;Insects,No,Foraging;Crushing,Non-Burrowing
Brown Bear,Mammal,No,Fur,No,4,Forest,Omnivore,No,No,35,No,No,No,No,No,Yes,No,Yes,No,25,Yes,Warm,No,No,1200,66,Brown,No,Yes,No,Solid,50,Cautious,25,Problem Solver,Poor,Excellent,Basic,0,1,No,Solitary,No,Tourism;Fur;Research,1,Cave;Ground Den,Fish;Berries;Small Mammals,No,Fishing;Foraging;Hunting,Burrow User
Budgerigar,Bird,No,No,Yes,2,Domestic,Omnivore,Yes,Yes,12,No,No,Yes,No,No,No,No,Yes,No,10,No,Warm,Yes,Yes,0.1,7,Green;Yellow;Blue;White,No,Yes,No,Various,72,Dependent,0,Complex Learner,Professional,Poor,Basic Speech,6,2,No,Pairs,No,Pets,2,Nest Box,Seeds;Vegetables,No,Foraging,Non-Burrowing
Butterfly,Insect,No,No,No,6,Various,Herbivore,Yes,Yes,12,No,No,No,No,No,No,No,Yes,Yes,1,No,Warm,No,Yes,0.001,4,Multiple Colors,Yes,No,No,Various,75,Neutral,0,Simple,Poor,Poor,None,100,1,No,Loose Groups,No,Pollination,10,Various,Nectar;Fruit Juice,Long Distance,Foraging,Non-Burrowing
Canada Goose,Bird,No,No,Yes,2,Various,Herbivore,Yes,Yes,40,No,No,No,No,No,No,No,Yes,No,25,No,Cold,No,Yes,14,30,Brown;Black;White,No,Yes,No,Two-toned,65,Tolerant,2,Learning,Poor,Good,Basic,5,1,No,Colonial,No,Meat;Down;Tourism,30,Ground Near Water,Grass;Aquatic Plants,Seasonal,Grazing;Dabbling,Non-Burrowing
Capybara,Mammal,No,No,No,4,Wetlands,Herbivore,No,No,35,No,No,No,No,No,No,Yes,Yes,No,12,Yes,Warm,Yes,No,150,24,Brown,No,Yes,No,Solid,75,Tolerant,1,Complex Learner,Poor,Good,Basic,0,2,Yes,Colonial,No,Meat;Leather,20,Ground Level,Grass;Aquatic Plants,No,Grazing;Swimming,Non-Burrowing
Cardinal,Bird,No,No,Yes,2,Woodland,Omnivore,Yes,Yes,20,No,No,No,No,No,No,No,Yes,No,3,No,Warm,No,Yes,0.084,9,Red;Black,No,Yes,No,Solid,70,Tolerant,0.1,Learning,Poor,Poor,Basic,4,2,No,Pairs,Simple,Tourism;Education,2,Dense Shrubs,Seeds;Insects,Some,Foraging;Ground Feeding,Non-Burrowing
Cassowary,Bird,No,No,Yes,2,Rainforest,Omnivore,Yes,No,31,No,No,No,No,No,No,No,No,No,40,No,Warm,No,No,130,72,Black;Blue;Red,Yes,Yes,No,Solid,80,Aggressive,2,Learning,Poor,Poor,Basic,5,1,No,Solitary,No,Tourism,1,Ground Level,Fruits;Small Animals,No,Foraging;Kicking,Non-Burrowing
Cat,Mammal,No,Fur,No,4,Domestic;Various,Carnivore,No,No,30,No,No,Yes,No,Yes,No,No,Yes,No,15,Yes,Warm,Yes,No,10,10,Multiple,No,Yes,No,Various,72,Dependent,0.2,Complex Learner,Excellent,Poor,Basic Vocalizations,0,0,No,Solitary,No,Pets;Pest Control,1,Human Structures,Small Mammals;Birds,No,Stalking;Pouncing,Burrow User
Chameleon,Reptile,Yes,No,No,4,Forest,Carnivore,Yes,No,0.3,Yes,No,No,No,No,No,No,No,No,5,No,Warm,Yes,No,0.3,8,Multiple,Yes,Yes,No,Variable,80,Cautious,0.1,Learning,Professional,Poor,Basic,20,3,No,Solitary,No,Pets,1,Tree Branch,Insects,No,Tongue Shooting,Non-Burrowing
Cheetah,Mammal,No,Fur,No,4,Savanna,Carnivore,No,No,70,No,No,No,No,No,No,No,Yes,Yes,11,Yes,Warm,No,No,125,32,Tan;Black Spots,Yes,Yes,No,Spotted,85,Fearful,50,Complex Learner,Poor,Poor,Basic,0,0,No,Small Groups,No,Tourism,3,Ground Level,Medium Mammals;Small Mammals,No,Pursuit;Stalking,Burrow User
Chicken,Bird,No,No,Yes,2,Various,Omnivore,Yes,Yes,9,No,No,Yes,No,No,No,No,Yes,No,8,No,Warm,No,Yes,5.5,18,Multiple,No,Yes,No,Solid,75,Dependent,0,Learning,Poor,Good,Basic,250,1,No,Colonial,No,Meat;Eggs;Feathers,25,Ground Level,Seeds;Insects;Plants,No,Foraging,Non-Burrowing
Chilean Rose Tarantula,Arachnid,No,Hair,No,8,Desert,Carnivore,Yes,No,1,No,No,Yes,Venomous,Yes,No,No,No,No,20,Yes,Warm,Yes,No,0.1,5,Pink;Brown,No,Yes,No,Solid,75,Dependent,0,Learning,Poor,Poor,None,100,1.4,No,Solitary,No,Pets;Education,1,Burrow,Insects;Small Animals,No,Ambush;Pouncing,Simple Burrower
